job_code,job_nm
5-0-814330,Salaried Technician 5-0-814330
1-635-7440,Stocking ON TA 1-635-7440
1-0-40346,Store Lead 40346
1-0-40267,"Store Manager, Academy, SC 40267"
1-980-711,Maint Assoc Day 1-980-711
1-0-40419,Stocking 2 Coach 40419
1-0-40421,Digital Coach 40421
1-14-101,Housewares DM 1-14-101
30-49-856,Licensed Optician 30-49-856
1-910-607,Training Coord 1-910-607
30-49-874,OD Intern 30-49-874
71-76-624,Acad Training Coord 71-76-624
1-990-517,Checkout Host Day 1-990-517
1-930-3400,SFS Supervisor ON 1-930-3400
1-0-40347,Store Lead 40347
10-38-4208,CF AP Assoc 10-38-4208
1-10-101,Automotive DM 1-10-101
5-0-901351,"COORDINATOR, CORPORATE SECURITY - GISAT 5-0-901351"
1-615-7200,Food & Consumables TL 1-615-7200
71-0-40418,Academy Lead 40418
1-695-7510,Salesfloor TL 1-695-7510
30-49-892,Vision Center Mgr Hrly 30-49-892
10-940-201,Rx SA 10-940-201
1-615-7410,Replenishment TA 1-615-7410
5-0-902742,SPECIALIST V SECURITY 5-0-902742
1-27-238,Fashion Fitting Room Assoc 1-27-238
1-0-40409,GM Coach 40409
1-912-617,Account Assoc 1-912-617
1-11-101,Hardlines DM 1-11-101
1-23-101,Fashion-Home DM 1-23-101
1-930-450,CAP Team 2 Assoc 1-930-450
1-635-8240,DIH Overnight TL
1-46-501,Cosmetics Cashier 1-46-501
59-645-7210,Fuel TL 59-645-7210
1-995-711,(USA) Automation Support Associate 1-995-711
1-990-7210,Front End TL 1-990-7210
10-38-4205,CF Rx Tech Supvr 10-38-4205
1-931-465,DSD Rec AK and HI ON 1-931-465
1-640-7411,Hardlines TA 1-640-7411
1-635-7340,Stocking ON AT 1-635-7340
10-38-4202,CF RecShip Sup 10-38-4202
1-990-501,Cashier Day 1-990-501
1-615-7310,Health & Beauty TL 1-615-7310
1-0-40349,Fashion Coach 40349
1-930-1481,In Home Delivery 1-930-1481
1-910-653,PR Lead Claims 1-910-653
1-993-1077,Stocking Coach 1 1-993-1077
1-990-3303,Front End Services TA 1-990-3303
10-40-4200,CF Maintenance SUP 10-40-4200
1-0-40345,Operations Manager 40345
1-996-754,AP Assoc Day 1-996-754
10-40-841,Pharmacist - Staff 10-40-841
1-990-540,Cust Serv Desk Assoc 1-990-540
1-996-754,AP Investigator 1-996-754
1-620-7200,Home TL 1-620-7200
1-966-101,Walmart Services DM 1-966-101
